areasymbol,spatialver,longitude,latitude,musym,mukey,muname,component_name,component_percent_r,horizon_name,horizon_top_cm,horizon_bottom_cm,ph1to1h2o_r,ph01mcacl2_r,cec7_r,ecec_r,sumbases_r,caco3_r,gypsum_r,sar_r,pbray1_r,poxalate_r,ph2osoluble_r,ptotal_r
FL071,8,-81.99832193,26.63778563,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-82.06637646,26.64351431,23,3102916,"Wulfert muck, tidal, 0 to 1 percent slopes",Wulfert,90,Oan1,0,30,,6,141.7,,124,0,0,25,,,,
FL071,8,-81.87472892,26.62075255,125,3102888,"Oldsmar sand-Urban land, 0 to 2 percent slopes",Oldsmar,45,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-82.13314449,26.65402036,43,1483438,"Smyrna fine sand, 0 to 2 percent slopes",Smyrna,85,A,0,10,5.5,5.5,,0.7,0.7,0,0,1,,,,
FL071,8,-82.14477756,26.65866745,36,3102952,"Immokalee sand-Urban land complex, 0 to 2 percent slopes",Immokalee,43,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
FL071,8,-81.69779656,26.59924003,36,3102952,"Immokalee sand-Urban land complex, 0 to 2 percent slopes",Immokalee,43,A,0,23,4.5,4.2,,0.8,0.8,0,0,1,,,,
FL071,8,-82.11153012,26.66610498,23,3102916,"Wulfert muck, tidal, 0 to 1 percent slopes",Wulfert,90,Oan1,0,30,,6,141.7,,124,0,0,25,,,,
FL071,8,-81.62877242,26.57828233,111,3102852,"Felda fine sand, ponded-Urban land complex, 0 to 1 percent slopes",Felda,45,A,0,18,6.3,,1.1,,1,0,0,1,,,,
FL071,8,-81.93071715,26.62111094,7,3102878,"Matlacha gravelly fine sand-Urban land complex, 0 to 2 percent slopes",Matlacha,48,^C,0,89,7,,3.5,,3.3,0,0,1,,,,
FL071,8,-81.77672828,26.60810369,142,3236258,"Cypress Lake fine sand, slough-Urban land complex, 0 to 1 percent slopes",Cypress Lake,44,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.76115988,26.62183258,64,3236261,"Brynwood fine sand, wet-Urban land complex, 0 to 2 percent slopes",Brynwood,45,A,0,5,5.6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.97460278,26.64847367,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-82.19400703,26.67701369,24,3102876,"Kesson fine sand, tidal, 0 to 1 percent slopes",Kesson,88,Akn,0,15,8,,2,,64.8,2,0,25,,,,
FL071,8,-81.90708621,26.63979824,24,3102876,"Kesson fine sand, tidal, 0 to 1 percent slopes",Kesson,88,Akn,0,15,8,,2,,64.8,2,0,25,,,,
FL071,8,-81.81999664,26.63040413,39,3102870,"Isles fine sand, frequently ponded, 0 to 1 percent slopes",Isles,80,A,0,13,6.2,,1.7,,1.5,0,0,6,,,,
FL071,8,-81.72394817,26.61320065,121,3102875,"Malabar fine sand, high-Urban land complex, 0 to 2 percent slopes",Malabar,45,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
FL071,8,-81.80774069,26.62760037,39,3102870,"Isles fine sand, frequently ponded, 0 to 1 percent slopes",Isles,80,A,0,13,6.2,,1.7,,1.5,0,0,6,,,,
FL071,8,-81.63951882,26.60372956,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.79362375,26.62640791,102,3236259,"Cypress Lake fine sand-Urban land complex, 0 to 2 percent slopes",Cypress Lake,42,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.76995616,26.62439992,77,1483466,"Pineda fine sand, limestone substratum, 0 to 2 percent slopes",Pineda,83,A,0,10,5.3,,,0.2,0.2,0,0,1,,,,
FL071,8,-81.59190930,26.59799131,139,3102923,"Winder sand, ponded-Urban land complex, 0 to 1 percent slopes",Winder,45,A,0,8,6.4,,3,,2.8,0,0,1,,,,
FL071,8,-82.06346579,26.66317513,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-81.60292711,26.60130199,139,3102923,"Winder sand, ponded-Urban land complex, 0 to 1 percent slopes",Winder,45,A,0,8,6.4,,3,,2.8,0,0,1,,,,
FL071,8,-81.68541930,26.61241587,112,3102854,"Floridana sand, ponded-Urban land complex, 0 to 1 percent slopes",Floridana,45,A,0,53,6.5,,3.2,,2.9,0,0,1,,,,
FL071,8,-81.81653028,26.63126032,99,1483470,Water,Water,100,,,,,,,,,,,,,,,
FL071,8,-82.08835460,26.66763254,23,3102916,"Wulfert muck, tidal, 0 to 1 percent slopes",Wulfert,90,Oan1,0,30,,6,141.7,,124,0,0,25,,,,
FL071,8,-82.14192974,26.67510316,10,1483406,"Pompano fine sand, 0 to 2 percent slopes",Pompano,80,A,0,10,6,,1.1,,0.9,0,0,1,,,,
FL071,8,-81.82370533,26.63204795,39,3102870,"Isles fine sand, frequently ponded, 0 to 1 percent slopes",Isles,80,A,0,13,6.2,,1.7,,1.5,0,0,6,,,,
FL071,8,-81.80610892,26.62929591,33,1483427,"Oldsmar sand, 0 to 2 percent slopes",Oldsmar,85,A,0,15,5.3,,,1,1,0,0,1,,,,
FL071,8,-81.57734500,26.59830312,139,3102923,"Winder sand, ponded-Urban land complex, 0 to 1 percent slopes",Winder,45,A,0,8,6.4,,3,,2.8,0,0,1,,,,
FL071,8,-82.14382486,26.67643828,27,1483424,"Pompano fine sand, frequently ponded, 0 to 1 percent slopes",Pompano,90,A,0,30,5.8,,1.1,,0.9,0,0,2,,,,
FL071,8,-81.74515911,26.62696893,142,3236258,"Cypress Lake fine sand, slough-Urban land complex, 0 to 1 percent slopes",Cypress Lake,44,A,0,8,5.6,5.6,1.1,,0.8,0,0,1,,,,
FL071,8,-81.59612389,26.60254709,121,3102875,"Malabar fine sand, high-Urban land complex, 0 to 2 percent slopes",Malabar,45,A,0,13,5.3,5.3,,0.2,0.2,0,0,1,,,,
