STATE,COUNTY,NAME,OWNER,CITY,TYPE,PURPOSE,MGD MAX,START DESAL,DISPOSAL CONCENTRATE,WATER SOURCE,DESAL REASON / TREATMENT,CONCENTRATE POST-TREATMENT,DESAL DESIGN PRODUCTION (mgd),DESAL AVERAGE PRODUCTION (mgd),PLANT DESIGN PRODUCTION (mgd),PLANT AVERAGE PRODUCTION (mgd),BLENDING?,RAW WATER TDS OR CONDUCTIVITY,PRE-TREATMENT,FEED PRESSURE TO DESAL (psi),MEMBRANE RECOVERY (%),PERMEATE TDS OR CONDUCTIVITY,BLEND TDS OR CONDUCTIVITY,BLEND RATIO (PERMEATE : OTHER),BLEND WATER SOURCE,PERMEATE POST-TREATMENT,AGE OF MEMBRANE / LAST REPLACEMENT (yr),FATE OF WASTEWATER CLEANING,FATE OF WASTE BACKWASH,SOURCE SECTION,SOURCE EXCEL ROW
IA,none,Hartley,City of Hartley,Hartley,Reverse osmosis,Drinking water,0.44,2010,Sewer discharge,Groundwater,"hardness, sulfate, total dissolved solids",none,0.44,summer = 0.17; winter = 0.11,none,none,yes,2100 mg/L TDS equivalent,"antiscalant, cartridge filters",158,75-77,none,400 mg/l,90 : 10,bypass,"aeration, chlorine, caustic, corrosion inhibitor, fluoride",on original membranes,sewer,none,Sheet1_table_04,103
NC,none,New Frontier Way NF WTP,City of Jacksonville,Jacksonville,Nanofiltration,Drinking water,8,2010,Surface water discharge,Groundwater,"hardness, organics",none,8,3.5,none,none,yes,884 mg/L TDS equivalent,"antiscalant, cartridge filters",57,75,75,280-320,90:10,bypass,"bioscrubbing to remove odor, stabilization, disinfection, pH adjustment",none,none,none,Sheet1_table_04,104
OH,none,City of Delaware WTP,City of Delaware,Delaware,Ultrafiltration / nanofiltration and nanofiltration (separate systems),Drinking water,6,none,Surface water discharge,Surface water and groundwater,"iron, manganese",none,6,3.8,none,none,no,none,"on surface water: coagulation, settling, UF; on GW: pressure filters to remove Fe, Mn,",none,none,none,none,none,none,"chorine, corrosion inhibitor, fluoride",none,none,none,Sheet1_table_04,105
IA,none,Hills Water Supply,Hills Municipal Water,Hills,Reverse osmosis,Drinking water,0.317,2015,Sewer discharge,Groundwater,"perchlorate, ammonia, total dissolved solids, hardness",none,0.317,none,none,none,no,none,none,none,none,none,none,none,none,none,none,none,none,Sheet1_table_04,106
IA,none,Council Point Water Purification Plant,Council Bluffs Water Works,Council Bluffs,Reverse osmosis,Drinking water,5,2013,Surface water discharge,Groundwater,"total dissolved solids, organics",none,5,1.68,5,2.4,yes,550-800 mg/L TDS equivalent,"Fe and Mn oxidation, UF, antiscalant",150,75,Target is potable water hardness,Target is potable water hardness; TDS = 300-400,70:30,bypass,"disinfection, pH adjustment",3 years,none,none,Sheet1_table_04,107
UT,none,Southwest GW Treatment Plant,Jordan Valley Water Conservation District,none,Reverse osmosis,Drinking water,8.25,2012,Surface water discharge (to Great Salt Lake),Groundwater,"sulfate, total dissolved solids",none,8.25; currently limited to 5.5,4,7.5,5.5,yes,800 mg/L TDS equivalent,"antiscalant, cartridge filters",130 -190,80,none,225 mg/l,4 : 1.5,bypass after 1µ cartridge filter,"caustic, disinfection",lead elements replaced after ~ 5 years,sewer,none,Sheet1_table_04,108
TN,none,Pigeon Forge new STP,City of Pigeon Forge,Pigeon Forge,Nanofiltration,Wastewater treatment plant,0.4,2015,nanofiltration used for thickening between digesters,sewage after initial digester,none,none,0.4,none,none,none,n0,none,none,none,none,none,none,none,none,"disk filter, chlorine, dechlorination, (later this year will recycle to front of process due to high P content)",on original membranes,none,none,Sheet1_table_04,109
ND,none,Valley City WTP,Valley City,Valley City,Ultrafiltration / nanofiltration,Drinking water,4.653632760898283,2012,surface water discharge (unless low flow in which case it goes to a lagoon),Surface water and groundwater,"sulfate, hardness",none,4.6500000000000004,none,none,none,yes,none,"permanganate (for Fe/Mn), coagulant, acid, UF, antiscalant, cartridge filters",180,85,50 µS/cm,none,~ 1 : 1,bypass after UF,"blend, caustic, chloramination, fluoride",on original membranes,with concentrate,none,Sheet1_table_04,110
NC,none,Dixon WTP,ONWASA (Onslow Water and Sewer Authority),Holly Ridge,Reverse osmosis,Drinking water,3,2013,Surface water discharge,Groundwater,silica and total organic carbon,none,3,2,4,2.5,yes,256 mg/L TDS equivalent,"greensand filter, antiscalant, cartridge filters",82-98,70-80,25,<250,3.0604166666666668,bypass after greensand filter,"pH adjustment (caustic), disinfection, corrosion inhibitor, fluoride",on original membranes,with concentrate,none,Sheet1_table_04,111
NJ,none,Freese Street WTP,Keansburg Water Department,Keansburg,Reverse osmosis,Drinking water,1.1499999999999999,2011,Surface water discharge,Groundwater,"iron, total dissolved solids",none,1.1499999999999999,0.85,none,none,yes,1200-1300 mg/L TDS equivalent,"antiscalant, acid, cartridge filters",180-200,85,40 mg/l,none,4 : 1,bypass,"caustic, chlorine",none,with concentrate,none,Sheet1_table_04,112
NC,none,Englehard,Hyde County Water Maintenance and Solid Waste Department,Englehard,Reverse osmosis,Drinking water,0.432,2011,Surface water discharge,Groundwater,organics,none,0.432,none,none,none,no,622.72 mg/L TDS equivalent,antiscalant,none,none,~25,none,none,none,"acid, lime, phosphate, chlorine",on original membranes,none,none,Sheet1_table_04,113
KS,none,Clay Center WTP,City of Clay Center,Clay Center,Reverse osmosis,Drinking water,1.6700132100396299,2010,Surface water discharge,Groundwater,meets present and future needs,none,1.67,0.41,1.95,0.49,yes,915.2 mg/L TDS equivalent,"greensand filter, antiscalant, cartridge filter",none,75,none,none,~ 80 : 20,bypass,"decarbonation, caustic, chlorine",on original membranes,none,none,Sheet1_table_04,114
ND,none,City of Hillsboro WTP,City of Hillsboro,Hillsboro,Reverse osmosis,Drinking water,0.85,2012,none,Groundwater,"hardness, sulfate, total dissolved solids",none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Sheet1_table_04,115
NC,none,Tyrrell County Prison RO WTP,Tyrrell County Prison,none,Reverse osmosis,Drinking water,0.432,2010,Surface water discharge,Groundwater,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,Sheet1_table_04,116
